filename,cluster
tc2az9x7.pt,1
7tdmueel.pt,3
j9fit435.pt,9
we9ti72w.pt,7
0hos3gsw.pt,19
uhg0cwsk.pt,19
7nf0kjvl.pt,8
ul4eaqma.pt,13
vz5keke4.pt,5
5ox97k47.pt,2
xecmxh0n.pt,11
59ersnyd.pt,11
x1hnq5r4.pt,6
lfps8ary.pt,3
gu4uury8.pt,20
3cvcspmn.pt,6
q0pau56z.pt,9
3ez6txig.pt,3
l79bmv5s.pt,9
em5nlj8v.pt,18
5be611iq.pt,15
rpxchvyy.pt,12
waay0dnh.pt,18
tun5wqvi.pt,14
hqkt95rn.pt,10
iynznfv4.pt,2
js25ojad.pt,5
df0cp2fo.pt,3
z184gpbn.pt,18
onzjc1j3.pt,7
yuv8u2ge.pt,11
3wtoredg.pt,19
nl7csjzz.pt,11
u5vyw14o.pt,8
nbhkxv4x.pt,7
d7yfoq09.pt,1
oi3rjyy5.pt,7
71gyf7hl.pt,9
yfd1ncqj.pt,0
ff2aqqna.pt,18
nssnm8db.pt,3
c2lc9wwx.pt,12
6zwgggfj.pt,18
fqzqef77.pt,7
84v5ac7g.pt,11
9vkxp70m.pt,11
64i83hgb.pt,20
z166gaaz.pt,12
ionojk8y.pt,5
jfrmu2h7.pt,6
03hrvmyq.pt,13
m9k7jhtf.pt,16
4j01fjub.pt,6
xpysnh8f.pt,12
14bgb35q.pt,1
89tvlvdl.pt,14
6n9wygzc.pt,13
vkav0j7t.pt,9
vz3ze0vi.pt,20
axvxutgn.pt,18
klola8cx.pt,14
gy913rq2.pt,3
qg7t59ug.pt,8
er3w64j0.pt,5
9khth8sd.pt,7
3i9oc3sy.pt,20
0tbvt9uv.pt,20
ecvxgsof.pt,7
v9wqdnpz.pt,20
rbzju4fd.pt,6
40vu78t9.pt,11
owhib93o.pt,20
x9v9iidj.pt,2
lfzxa28q.pt,11
5vis4sfs.pt,8
5ae82v6y.pt,12
541q0ocq.pt,13
ainexrxv.pt,8
9vn1msth.pt,4
5zo9v2bl.pt,11
srvinda4.pt,0
mjyih6b9.pt,12
31qbxujc.pt,7
dj5z68pe.pt,18
6urhrtn5.pt,4
uijvjvu1.pt,13
3huek53l.pt,4
4wnoot1z.pt,11
592wad3c.pt,7
nw2dznu0.pt,14
n4jwfmig.pt,4
lgbjgav6.pt,20
31ix0xsw.pt,13
4888z3ym.pt,5
ho342f4f.pt,9
xvd15wit.pt,19
6bi7kzx1.pt,12
bmnbhf7i.pt,9
qmfome6e.pt,10
jq3g12fj.pt,9
iz7j7hj5.pt,6
y7kh4dq7.pt,14
zelsx366.pt,14
qtgjud90.pt,19
xrel9dry.pt,6
w2lpuws4.pt,19
01ov0jbm.pt,4
6nqwl5ps.pt,11
ga484378.pt,4
5078tfoe.pt,19
h9hf9790.pt,11
nkg1eai4.pt,9
9uf47zir.pt,11
y2vc80mv.pt,18
dclmlufw.pt,4
ye2ouf71.pt,12
67w3vf9n.pt,1
59upczr9.pt,14
mrfp42ra.pt,20
qdedtutt.pt,14
8516t6ko.pt,19
r66p2cod.pt,17
639fla21.pt,1
21qlwnhu.pt,9
udaemnyn.pt,15
mktsy6xu.pt,18
5xsrkvzb.pt,3
qqe8mf6g.pt,9
ecekv5c1.pt,8
5k9sxshv.pt,9
yoc1w3c0.pt,19
ao8pam69.pt,6
e27idseq.pt,11
3yx4mrjo.pt,8
ndi3ka2t.pt,8
exawuyrm.pt,11
bhdeltil.pt,17
imriwtud.pt,11
m1ambr1g.pt,20
pz2j33sw.pt,9
v94nrhhs.pt,6
y1ta39sh.pt,14
93h6zk45.pt,7
z39qahhm.pt,13
jg8tn8xp.pt,3
5qq9dbfi.pt,18
uvtd4vq2.pt,20
33qgtqmh.pt,15
np2x2ang.pt,3
27dchqul.pt,1
7242pf4o.pt,6
3fhtfstp.pt,4
l1qylaa0.pt,18
h9fx4m7j.pt,11
0m9er1jf.pt,15
tmuub8n3.pt,14
32j8qpka.pt,9
lzc9a5t5.pt,8
kfh47wzp.pt,14
npi9pg0h.pt,9
s8rd0ph7.pt,15
qj964lvx.pt,5
3gjsn8cp.pt,3
95w1p0xh.pt,3
205qwp3b.pt,5
t2c0ta3n.pt,20
tvae8702.pt,6
c9u8aviw.pt,2
qgkhhllu.pt,5
gimfrkkj.pt,3
hgwbspg5.pt,2
e6d51xlu.pt,11
s0u3tt08.pt,19
49ybmv0g.pt,7
ofowo4ix.pt,9
skx81r3f.pt,18
u6lbs24b.pt,9
kvc84v9k.pt,11
bt10vvlp.pt,5
izq7htnp.pt,11
qhp85qpa.pt,17
tjf8gmcw.pt,11
ttms5ip9.pt,12
pmt4c98g.pt,2
o902l6wl.pt,4
307t7f9h.pt,5
v7cjmyyy.pt,10
63h41c7y.pt,4
n2w6rawl.pt,8
jjw8o0bj.pt,1
a0dh556c.pt,20
vxofo3a8.pt,20
vd0g6ccq.pt,11
6nnyp8l7.pt,6
gl0jd4c9.pt,5
ky1wqx7j.pt,6
xixot27g.pt,8
9rlta2c3.pt,5
rrbbozqp.pt,9
ximk9uhb.pt,12
ibfxwgww.pt,5
277ygjzh.pt,8
f3qxsk5q.pt,3
w3n74g1k.pt,9
iae4hsmj.pt,8
k8j53r38.pt,14
q276t146.pt,11
a33i1x35.pt,8
6icct84l.pt,7
a5v0uwpz.pt,2
caril0yp.pt,7
uwcxbcyk.pt,8
usj1h90l.pt,8
fpw7lpqa.pt,9
nrs6toxu.pt,2
6o6ivarq.pt,7
rami3uxi.pt,5
ge92p8wh.pt,1
hsp7s2pa.pt,18
znygkai3.pt,5
kf7yinyt.pt,3
3p13we7n.pt,18
smm1n5gn.pt,11
lv2zs9p5.pt,1
ivrw0p0r.pt,1
9l3lr5ay.pt,8
zyzdib8i.pt,13
y34bozu5.pt,6
ahvsax9e.pt,8
7augclxz.pt,12
3iueu0y2.pt,1
7kb51gwr.pt,7
ew4h4w1o.pt,18
sewjh68r.pt,19
ah521pxz.pt,7
h1bxxsqr.pt,9
ip3mw63f.pt,13
4aavfawz.pt,20
293w5oqt.pt,5
can4v2rd.pt,3
ajftix8m.pt,12
tlypgd39.pt,7
t8pwcqqx.pt,7
z2hfxz88.pt,14
kv38s7i2.pt,8
2g6yvlt7.pt,5
iiemb8g7.pt,14
vodzsxzc.pt,12
cswurtwc.pt,8
d6onxvwm.pt,12
aq0rqpao.pt,13
sidp1dlz.pt,5
b4toaavl.pt,18
8xa37u27.pt,8
rg7int3x.pt,3
n3c5obfr.pt,17
dt4fw1pg.pt,19
fiilc730.pt,19
8vn9dvv1.pt,0
0h64tc78.pt,11
hqmmotgw.pt,6
4wj8srpx.pt,8
bzk1u9z6.pt,4
sxub0vzn.pt,15
yrzf5skh.pt,1
er4kfo34.pt,19
y5byc1x8.pt,14
4jii5mdj.pt,4
3q45fvmm.pt,18
gbf1665k.pt,6
33eduvy5.pt,7
soar6swm.pt,9
8wcocqgj.pt,11
y3r1vjdj.pt,0
1x0qbj0v.pt,10
vf7527db.pt,5
hv9x1b2o.pt,9
quc8bete.pt,18
f14s3ybz.pt,4
nhx171fl.pt,11
01xiaw2o.pt,9
